<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140922;000000;1.6291000;1.6416000;1.6233000;1.6238000;0
20140929;000000;1.6238000;1.6287000;1.5949000;1.5959000;0
20141006;000000;1.5958000;1.6227000;1.5939000;1.6077000;7747
20141013;000000;1.6078000;1.6126000;1.5873000;1.6097000;0
20141020;000000;1.6100000;1.6185000;1.5990000;1.6078000;0
20141027;000000;1.6084000;1.6182000;1.5940000;1.5990000;644539
20141103;000000;1.5979000;1.6023000;1.5789000;1.5868000;5860605
20141110;000000;1.5905000;1.5945000;1.5589000;1.5681000;5298704
20141117;000000;1.5679000;1.5737000;1.5585000;1.5656000;7155130
20141124;000000;1.5649000;1.5826000;1.5611000;1.5652000;6534408
20141201;000000;1.5652000;1.5764000;1.5566000;1.5571000;7334208
20141208;000000;1.5572000;1.5757000;1.5537000;1.5733000;7962287
20141215;000000;1.5735000;1.5786000;1.5539000;1.5621000;8080926
20141222;000000;1.5621000;1.5665000;1.5483000;1.5565000;4063488
20141229;000000;1.5565000;1.5620000;1.5322000;1.5325000;4568580
20150105;000000;1.5325000;1.5335000;1.5030000;1.5181000;8118164
20150112;000000;1.5180000;1.5269000;1.5074000;1.5149000;7428083
20150119;000000;1.5146000;1.5212000;1.4950000;1.4995000;8162871
20150126;000000;1.4985000;1.5224000;1.4970000;1.5067000;7674578
20150202;000000;1.5092000;1.5352000;1.4985000;1.5215000;7004901
20150209;000000;1.5219000;1.5422000;1.5194000;1.5424000;6674607
20150216;000000;1.5424000;1.5480000;1.5312000;1.5403000;6442749
20150223;000000;1.5403000;1.5552000;1.5328000;1.5422000;6107906
20150302;000000;1.5421000;1.5443000;1.5029000;1.5037000;5792526
20150309;000000;1.5034000;1.5137000;1.4695000;1.4735000;7710806
20150316;000000;1.4741000;1.5164000;1.4631000;1.4968000;8089310
20150323;000000;1.4969000;1.4995000;1.4792000;1.4886000;8201785
20150330;000000;1.4886000;1.4945000;1.4736000;1.4917000;6543605
20150406;000000;1.4918000;1.4981000;1.4584000;1.4620000;6462682
